Horodateur,Niveau scolaire,Quelle est votre moyenne actuelle ?,Combien de fois avez-vous redoublé ?,Combien d'heures consacrez-vous à la révision par jour ? ,Préférez-vous étudier seul(e) ou en groupe ? ,"Quels types de documents ou de matériaux, révisez-vous le plus souvent ?",Quels sont vos environnements de révision préférés ?,Quelle est votre méthode de prise de notes pendant la révision ?,À quelle fréquence relisez-vous vos notes après les avoir prises ?,Comment gérez-vous les distractions pendant la révision ? ,Combien de pauses prenez-vous pendant une session de révision d'une heure ?,Comment évaluez-vous votre niveau de concentration pendant la révision ?
05/03/2024 22:29:14,Enseignement supérieur,12 à 14,Deux fois,Plus de 3 heures,Les deux,Livres/textes académiques,Bibliothèque,Tous,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Très concentré(e)
05/03/2024 22:33:35,Enseignement supérieur,12 à 14,Aucun,2 à 3 heures,Seul(e),Livres/textes académiques,Bibliothèque,Prise de notes manuscrites,Souvent,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
05/03/2024 22:33:37,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Salon,Prise de notes manuscrites,Jamais,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Peu concentré(e)
05/03/2024 22:34:41,Enseignement supérieur,Plus de 14,Aucun,1 à 2 heures,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
05/03/2024 22:37:54,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,Seul(e),Livres/textes académiques,Bibliothèque,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Moyennement concentré(e)
05/03/2024 23:10:34,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,En groupe,Articles de recherche,Café,Prise de notes manuscrites,Souvent,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Moyennement concentré(e)
06/03/2024 07:01:33,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,En groupe,Livres/textes académiques,Tous,Prise de notes manuscrites,Rarement,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",3 pauses ou plus,Très concentré(e)
06/03/2024 08:53:48,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,En groupe,Notes de cours,Café,Prise de notes manuscrites,Rarement,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
06/03/2024 09:02:06,Enseignement supérieur,Moins de 10,Aucun,1 à 2 heures,En groupe,,Tous,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",3 pauses ou plus,Moyennement concentré(e)
06/03/2024 09:05:20,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,Seul(e),Articles de recherche,Bibliothèque,Prise de notes manuscrites,Souvent,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Moyennement concentré(e)
06/03/2024 09:10:22,Enseignement supérieur,Plus de 14,Aucun,2 à 3 heures,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Très concentré(e)
06/03/2024 09:15:09,Enseignement supérieur,12 à 14,Une fois,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 09:30:39,Enseignement supérieur,Plus de 14,Deux fois,Moins d'une heure,Seul(e),Notes de cours,Chambre,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,1 pause,Moyennement concentré(e)
06/03/2024 09:34:29,Enseignement supérieur,10 à 12,Deux fois,Moins d'une heure,En groupe,Notes de cours,Café,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Peu concentré(e)
06/03/2024 09:35:45,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Très concentré(e)
06/03/2024 09:50:59,Enseignement supérieur,10 à 12,Aucun,Moins d'une heure,En groupe,Notes de cours,Café,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Peu concentré(e)
06/03/2024 09:53:26,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Livres/textes académiques,Bibliothèque,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Peu concentré(e)
06/03/2024 10:03:04,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes sur un ordinateur/tablette,Rarement,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Peu concentré(e)
06/03/2024 10:07:16,Enseignement supérieur,Plus de 14,Une fois,2 à 3 heures,Seul(e),Notes de cours,Chambre,Prise de notes manuscrites,De temps en temps,utilisation de techniques de concentration (comme la méthode Pomodoro),1 pause,Moyennement concentré(e)
06/03/2024 10:18:43,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,En groupe,Exercices,Tous,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
06/03/2024 10:39:25,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 10:51:44,Enseignement supérieur,12 à 14,Une fois,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Souvent,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 11:15:55,Enseignement supérieur,Plus de 14,Une fois,Moins d'une heure,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
06/03/2024 11:43:11,Enseignement supérieur,12 à 14,Aucun,2 à 3 heures,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 11:49:06,Enseignement supérieur,10 à 12,Une fois,Moins d'une heure,En groupe,Notes de cours,Café,Prise de notes sur un ordinateur/tablette,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Moyennement concentré(e)
06/03/2024 12:33:57,Enseignement supérieur,Plus de 14,Aucun,1 à 2 heures,Seul(e),Livres/textes académiques,Chambre,Prise de notes sur un ordinateur/tablette,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,1 pause,Moyennement concentré(e)
